,availability,location,size,total_sqft,bath,price
1379,0,Dommasandra,2,900.0,2.0,40.0
1380,1,Dommasandra,2,708.5,2.0,43.5
1381,1,Dommasandra,2,649.35,2.0,32.9
1382,1,EPIP Zone,2,835.25,2.0,82.0
1383,0,EPIP Zone,3,1514.5,3.0,162.0
1384,1,EPIP Zone,2,864.5,2.0,92.5
1385,1,EPIP Zone,2,864.5,2.0,86.98
1386,0,EPIP Zone,2,864.5,2.0,93.36
1387,1,EPIP Zone,3,975.0,3.0,102.0
1388,1,EPIP Zone,2,787.5,2.0,65.0
1389,1,EPIP Zone,3,1127.1000000000001,3.0,125.0
1390,1,EPIP Zone,2,872.95,2.0,86.0
1391,0,EPIP Zone,3,1527.5,4.0,163.0
1392,0,EPIP Zone,3,1209.0,3.0,130.0
1393,1,EPIP Zone,3,1436.5,3.0,165.0
1394,1,EPIP Zone,3,1761.5,3.0,177.0
1396,1,Electronic City,2,742.0,2.0,60.0
1397,0,Electronic City,2,748.8000000000001,2.0,64.5
1398,1,Electronic City,2,695.5,2.0,52.0
1400,1,Electronic City,1,382.85,1.0,27.0
1402,0,Electronic City,2,720.2,2.0,63.0
1403,0,Electronic City,2,733.2,2.0,65.0
1404,1,Electronic City,3,1170.0,3.0,95.0
1405,0,Electronic City,1,441.0,1.0,34.65
1406,0,Electronic City,2,733.2,2.0,63.0
1408,1,Electronic City,2,695.5,2.0,55.0
1410,0,Electronic City,2,872.3000000000001,2.0,73.3
1412,0,Electronic City,2,733.2,2.0,65.49
1414,1,Electronic City,2,695.5,2.0,56.1
1415,1,Electronic City,2,623.0,2.0,45.0
1416,0,Electronic City,2,733.2,2.0,65.65
1419,1,Electronic City,3,951.9999999999999,2.0,75.0
1420,1,Electronic City,2,733.2,2.0,64.0
1421,1,Electronic City,2,695.5,2.0,54.0
1422,0,Electronic City,3,1021.1500000000001,3.0,89.0
1424,0,Electronic City,2,733.2,2.0,65.35
1425,0,Electronic City,2,733.2,2.0,65.0
1427,0,Electronic City,3,1015.95,3.0,91.84
1429,0,Electronic City,2,666.25,2.0,54.5
1433,1,Electronic City,1,489.99999999999994,1.0,35.0
1438,0,Electronic City,2,748.8000000000001,2.0,65.0
1439,1,Electronic City,2,695.5,2.0,60.0
1440,0,Electronic City,2,733.2,2.0,65.5
1441,1,Electronic City,2,780.0,2.0,59.0
1442,0,Electronic City,2,748.8000000000001,2.0,65.75
1443,0,Electronic City,2,695.5,2.0,55.0
1444,1,Electronic City,2,689.0,2.0,58.0
1445,0,Electronic City,2,666.25,2.0,54.1
1447,1,Electronic City,3,975.0,2.0,78.0
1448,0,Electronic City,2,788.45,2.0,59.32
1449,1,Electronic City,3,1023.75,3.0,90.0
1450,1,Electronic City,1,304.5,1.0,19.5
1451,1,Electronic City,2,731.25,2.0,58.0
1452,0,Electronic City,3,975.0,2.0,78.25
1453,1,Electronic City,2,885.95,2.0,79.0
1455,0,Electronic City,2,733.2,2.0,65.7
1457,0,Electronic City,3,1155.0,3.0,100.0
1458,1,Electronic City,2,666.25,2.0,49.0
1459,1,Electronic City,2,695.5,2.0,58.0
1462,1,Electronic City,2,695.5,2.0,52.0
1463,0,Electronic City,4,1582.75,4.0,119.0
1464,1,Electronic City,2,697.45,2.0,60.0
1465,0,Electronic City,3,975.0,2.0,78.0
1467,1,Electronic City,2,842.4,2.0,65.0
1470,0,Electronic City,4,1360.45,4.0,104.0
1471,1,Electronic City,2,666.25,2.0,53.9
1472,1,Electronic City,2,658.0,2.0,54.0
1473,0,Electronic City,3,975.0,2.0,77.5
1474,1,Electronic City,3,1060.15,3.0,80.0
1475,0,Electronic City,2,880.75,2.0,67.0
1478,1,Electronic City,2,675.35,2.0,50.0
1479,0,Electronic City,2,733.2,2.0,64.0
1480,1,Electronic City,2,695.5,2.0,53.0
1481,0,Electronic City,3,1021.1500000000001,3.0,83.0
1482,0,Electronic City,2,733.2,2.0,65.58
1483,1,Electronic City,1,444.5,1.0,28.0
1484,0,Electronic City,2,733.2,2.0,65.4
1487,0,Electronic City,2,880.75,2.0,72.9
1489,1,Electronic City,2,720.2,2.0,63.0
1492,1,Electronic City,1,393.25,1.0,22.0
1494,1,Electronic City,1,412.75,1.0,28.0
1495,0,Electronic City,2,733.2,2.0,65.45
1497,0,Electronic City,1,409.5,1.0,33.7
1499,1,Electronic City,2,970.1999999999999,2.0,85.0
1500,1,Electronic City,1,385.0,1.0,27.0
1501,1,Electronic City,2,666.25,2.0,50.0
1502,1,Electronic City,2,695.5,2.0,55.0
1503,0,Electronic City,2,872.3000000000001,2.0,72.0
1506,0,Electronic City,3,1068.6000000000001,3.0,92.59
1508,0,Electronic City,2,733.2,2.0,64.8
1509,1,Electronic City,2,742.0,2.0,55.0
1510,0,Electronic City,1,461.5,1.0,40.42
1511,1,Electronic City,3,986.7,3.0,75.0
1512,1,Electronic City,2,689.0,2.0,55.0
1513,1,Electronic City,2,879.45,2.0,75.0
1514,0,Electronic City,2,749.0,2.0,57.0
1515,1,Electronic City,3,1190.0,3.0,90.0
1517,1,Electronic City,1,487.5,1.0,35.0
1519,0,Electronic City,2,749.0,2.0,60.0
1522,1,Electronic City,2,793.65,2.0,68.0
1525,1,Electronic City,2,646.75,2.0,48.0
1526,0,Electronic City,2,733.2,2.0,63.5
1527,1,Electronic City,1,382.85,1.0,29.0
1529,1,Electronic City,2,666.25,2.0,54.0
1532,0,Electronic City,2,880.75,2.0,73.0
1533,1,Electronic City,2,689.0,2.0,52.0
1534,0,Electronic City Phase II,2,686.4,2.0,39.07
1535,0,Electronic City Phase II,2,663.0,2.0,30.6
1536,1,Electronic City Phase II,2,694.85,2.0,45.0
1537,0,Electronic City Phase II,1,409.5,1.0,28.35
1538,0,Electronic City Phase II,2,650.0,2.0,25.0
1539,0,Electronic City Phase II,2,763.0,2.0,28.34
1540,0,Electronic City Phase II,4,1446.25,4.0,98.88
1542,1,Electronic City Phase II,2,822.9,2.0,59.0
1543,0,Electronic City Phase II,2,650.0,2.0,28.88
1545,0,Electronic City Phase II,2,631.8000000000001,2.0,44.0
1547,1,Electronic City Phase II,2,670.15,2.0,55.0
1548,0,Electronic City Phase II,2,651.95,2.0,40.6
1549,1,Electronic City Phase II,2,670.15,2.0,56.35
1551,0,Electronic City Phase II,3,906.75,2.0,62.78
1552,0,Electronic City Phase II,2,812.0,2.0,33.5
1553,0,Electronic City Phase II,2,692.25,2.0,30.75
1554,1,Electronic City Phase II,2,792.35,2.0,61.25
1556,0,Electronic City Phase II,2,700.0,2.0,28.88
1557,1,Electronic City Phase II,3,1253.0,3.0,100.0
1560,0,Electronic City Phase II,3,921.7,3.0,52.47
1561,1,Electronic City Phase II,2,749.0,2.0,45.0
1563,0,Electronic City Phase II,2,798.0,2.0,33.06
1564,0,Electronic City Phase II,2,707.85,2.0,32.67
1565,1,Electronic City Phase II,2,670.15,2.0,55.0
1566,1,Electronic City Phase II,2,877.0999999999999,2.0,65.8
1568,0,Electronic City Phase II,2,754.0,2.0,33.5
1570,1,Electronic City Phase II,2,725.4,2.0,37.0
1571,0,Electronic City Phase II,2,787.5,2.0,29.25
1572,0,Electronic City Phase II,2,650.0,2.0,28.88
1573,0,Electronic City Phase II,2,650.0,2.0,28.88
1574,0,Electronic City Phase II,2,700.0,2.0,28.88
1575,0,Electronic City Phase II,2,815.5,2.0,30.29
1576,1,Electronic City Phase II,2,670.15,2.0,53.0
1578,0,Electronic City Phase II,2,745.5,2.0,30.88
1579,1,Electronic City Phase II,3,1006.85,3.0,80.0
1580,1,Electronic City Phase II,2,692.25,2.0,56.13
1582,0,Electronic City Phase II,2,741.0,2.0,33.84
1583,1,Electronic City Phase II,2,792.35,2.0,61.26
1584,0,Electronic City Phase II,2,787.5,2.0,32.49
1585,1,Electronic City Phase II,2,835.9,2.0,69.0
1586,0,Electronic City Phase II,2,741.0,2.0,32.92
1587,0,Electronic City Phase II,2,725.4,2.0,40.0
1589,1,Electronic City Phase II,2,663.0,2.0,32.0
1590,1,Electronic City Phase II,4,1330.0,3.0,97.0
1591,0,Electronic City Phase II,2,663.0,2.0,27.43
1592,0,Electronic City Phase II,2,717.5,2.0,26.65
1593,0,Electronic City Phase II,2,714.0,2.0,29.45
1594,0,Electronic City Phase II,2,700.0,2.0,28.88
1596,0,Electronic City Phase II,2,741.0,2.0,28.5
1597,0,Electronic City Phase II,2,731.25,2.0,32.49
1598,0,Electronic City Phase II,2,780.0,2.0,34.65
1599,0,Electronic City Phase II,2,754.0,2.0,52.2
1600,0,Electronic City Phase II,2,808.6,2.0,55.0
1601,0,Electronic City Phase II,2,812.0,2.0,33.51
1603,0,Electronic City Phase II,2,631.8000000000001,2.0,40.0
1604,0,Electronic City Phase II,2,812.0,2.0,33.51
1606,0,Electronic City Phase II,2,763.0,2.0,31.48
1607,0,Electronic City Phase II,2,798.0,2.0,32.92
1608,1,Electronic City Phase II,1,422.5,1.0,35.0
1609,1,Electronic City Phase II,2,808.5,2.0,57.0
1610,1,Electronic City Phase II,3,1170.0,3.0,92.0
1611,1,Electronic City Phase II,2,909.9999999999999,2.0,28.0
1612,0,Electronic City Phase II,3,1358.0,4.0,116.0
1613,0,Electronic City Phase II,2,754.0,2.0,33.5
1614,0,Electronic City Phase II,2,717.5,2.0,29.6
1615,0,Electronic City Phase II,4,1421.875,4.0,105.0
1616,1,Electronic City Phase II,2,813.8000000000001,2.0,67.0
1617,0,Electronic City Phase II,2,787.5,2.0,32.63
1618,0,Electronic City Phase II,2,741.0,2.0,34.0
1620,1,Electronic City Phase II,2,737.75,2.0,46.0
1621,0,Electronic City Phase II,2,815.5,2.0,33.64
1623,1,Electronic City Phase II,1,402.5,1.0,16.75
1624,0,Electronic City Phase II,2,745.5,2.0,30.76
1625,0,Electronic City Phase II,2,745.5,2.0,30.75
1626,0,Electronic City Phase II,2,798.0,2.0,33.06
1627,0,Electronic City Phase II,2,840.0,2.0,34.65
1628,1,Electronic City Phase II,2,670.15,2.0,54.48
1631,1,Electronics City Phase 1,3,958.75,3.0,78.29
1632,1,Electronics City Phase 1,3,1043.0,3.0,78.8
1633,1,Electronics City Phase 1,2,723.6255,2.0,53.0
1634,1,Electronics City Phase 1,3,968.5,3.0,84.0
1636,1,Electronics City Phase 1,1,785.0,1.0,55.0
1638,1,Electronics City Phase 1,3,1137.5,3.0,84.0
1640,1,Electronics City Phase 1,2,710.5,2.0,56.0
1642,1,Electronics City Phase 1,3,984.75,2.0,80.91
1644,1,Electronics City Phase 1,3,1010.75,2.0,82.0
1645,0,Electronics City Phase 1,2,937.9999999999999,2.0,75.0
1646,0,Electronics City Phase 1,2,763.75,2.0,57.0
1647,0,Electronics City Phase 1,1,490.75,1.0,42.41
1648,1,Electronics City Phase 1,1,406.0,1.0,27.0
1649,1,Electronics City Phase 1,2,658.0,2.0,49.0
1650,0,Electronics City Phase 1,2,867.75,2.0,67.0
1651,1,Electronics City Phase 1,2,723.5279999999999,2.0,55.0
1653,1,Electronics City Phase 1,3,944.9999999999999,3.0,71.0
1655,1,Electronics City Phase 1,2,646.75,2.0,49.8
1656,1,Electronics City Phase 1,1,444.5,1.0,26.0
1657,0,Electronics City Phase 1,2,773.5,2.0,68.0
1659,0,Electronics City Phase 1,3,942.5,3.0,72.54
1660,1,Electronics City Phase 1,1,446.59999999999997,1.0,32.0
1661,0,Electronics City Phase 1,2,763.75,2.0,64.98
1662,0,Electronics City Phase 1,2,780.0,2.0,59.76
1663,0,Electronics City Phase 1,2,744.25,2.0,54.0
1664,1,Electronics City Phase 1,2,731.25,2.0,65.0
1665,1,Electronics City Phase 1,3,1007.5,2.0,82.0
1668,0,Electronics City Phase 1,3,942.5,3.0,70.0
1671,1,Electronics City Phase 1,3,1170.0,3.0,93.0
1672,0,Electronics City Phase 1,2,854.1,2.0,60.0
1673,0,Electronics City Phase 1,2,760.5,2.0,62.0
1674,0,Electronics City Phase 1,3,942.5,3.0,79.0
1675,1,Electronics City Phase 1,2,611.0,2.0,48.0
1676,0,Electronics City Phase 1,2,611.0,2.0,44.0
1677,1,Electronics City Phase 1,2,845.0,2.0,67.0
1678,1,Electronics City Phase 1,2,719.5999999999999,2.0,51.0
1680,0,Electronics City Phase 1,2,783.25,2.0,60.0
1682,0,Electronics City Phase 1,2,848.25,2.0,67.0
1683,1,Electronics City Phase 1,1,490.75,1.0,30.12
1684,1,Electronics City Phase 1,2,763.75,2.0,60.0
1685,1,Frazer Town,3,1105.0,3.0,180.0
1686,1,Frazer Town,3,1215.5,3.0,185.0
1687,1,Frazer Town,3,1137.5,3.0,150.0
1688,1,Frazer Town,3,1300.0,3.0,200.0
1691,1,Frazer Town,2,1007.5,2.0,140.0
1692,1,Frazer Town,3,1330.0,4.0,145.0
1696,1,Frazer Town,2,920.4999999999999,2.0,140.0
1697,1,Frazer Town,3,1108.9,3.0,154.0
1702,1,Frazer Town,2,767.0,2.0,105.0
1704,1,Frazer Town,3,1215.5,3.0,180.0
1705,1,Frazer Town,1,537.6,1.0,100.0
1706,1,Frazer Town,2,993.9999999999999,2.0,120.0
1707,1,GM Palaya,3,1183.0,2.0,86.0
1708,0,GM Palaya,2,796.25,2.0,47.0
1709,0,GM Palaya,2,741.0,2.0,48.95
1710,1,GM Palaya,3,920.4999999999999,2.0,65.0
1711,1,GM Palaya,3,1214.5,3.0,70.0
1712,1,GM Palaya,3,1067.95,2.0,70.0
1713,1,Garudachar Palya,2,689.0,2.0,48.7
1714,1,Garudachar Palya,2,747.5,2.0,52.75
1715,1,Garudachar Palya,2,747.5,2.0,52.8
1716,1,Garudachar Palya,2,747.5,2.0,52.8
1717,1,Garudachar Palya,2,689.0,2.0,48.5
1718,1,Garudachar Palya,2,747.5,2.0,52.5
1719,1,Garudachar Palya,2,689.0,2.0,48.66
1720,1,Garudachar Palya,2,747.5,2.0,52.0
1721,1,Garudachar Palya,2,750.1,2.0,51.8
1725,1,Giri Nagar,1,420.0,1.0,125.0
1726,1,Gollarapalya Hosahalli,2,602.6999999999999,2.0,34.5
1727,1,Gollarapalya Hosahalli,3,915.2,3.0,62.0
1728,1,Gollarapalya Hosahalli,2,602.6999999999999,2.0,34.5
1729,1,Gollarapalya Hosahalli,2,602.6999999999999,2.0,36.5
1730,1,Gollarapalya Hosahalli,3,941.4999999999999,3.0,60.0
1731,1,Gollarapalya Hosahalli,4,1333.5,3.0,86.0
1732,1,Gollarapalya Hosahalli,2,733.85,2.0,50.0
1733,1,Gottigere,2,770.0,2.0,40.0
1734,1,Gottigere,2,676.9,2.0,45.0
1735,1,Gottigere,3,1051.7,3.0,82.5
1736,1,Gottigere,2,794.3000000000001,2.0,63.0
1738,1,Gottigere,2,617.5,2.0,38.0
1739,1,Gottigere,2,749.45,2.0,48.5
1740,1,Gottigere,1,487.2,1.0,26.0
1742,1,Gottigere,3,949.0,2.0,65.0
1743,1,Gottigere,3,975.0,3.0,70.0
1744,1,Gottigere,3,1053.65,3.0,72.0
1745,1,Gottigere,1,487.2,1.0,26.0
1746,1,Gottigere,2,643.5,2.0,40.0
1747,1,Gottigere,2,802.75,2.0,63.0
1748,1,Gottigere,3,900.25,3.0,64.0
1749,1,Gottigere,2,650.0,2.0,35.0
1750,1,Gottigere,2,656.5,2.0,35.0
1752,1,Gottigere,2,916.5,2.0,45.0
1754,1,Gottigere,3,932.75,2.0,62.0
1755,1,Gottigere,2,661.5,2.0,45.0
1757,1,Gottigere,4,1500.0,3.0,120.0
1758,1,Gottigere,2,728.0,2.0,50.0
1759,1,Gottigere,3,975.0,3.0,63.0
1760,1,Gottigere,2,780.0,2.0,40.0
1761,1,Gottigere,2,832.0,2.0,61.0
1762,1,Gottigere,2,783.25,2.0,56.58
1763,1,Gottigere,2,760.5,2.0,40.0
1765,1,Gottigere,3,1048.45,3.0,72.0
1766,1,Gottigere,2,721.5,2.0,36.25
1767,1,Gottigere,2,809.25,2.0,59.0
1768,1,Gottigere,2,780.0,2.0,50.0
1769,1,Green Glen Layout,3,1169.0,3.0,120.0
1771,1,Green Glen Layout,3,1154.673,3.0,105.0
1773,1,Green Glen Layout,2,658.0,2.0,56.8
1774,1,Green Glen Layout,3,1039.5,3.0,115.0
1775,1,Green Glen Layout,3,1114.75,3.0,115.0
1776,1,Green Glen Layout,3,1138.15,2.0,115.0
1777,1,Green Glen Layout,3,1137.5,3.0,130.0
1778,1,Green Glen Layout,3,994.5,3.0,105.0
1779,1,Green Glen Layout,3,1138.8,3.0,105.0
1780,1,Green Glen Layout,3,1092.0,4.0,95.0
1781,1,Green Glen Layout,3,1123.2,3.0,125.0
1782,1,Green Glen Layout,3,1069.25,3.0,110.0
1783,1,Green Glen Layout,3,986.0500000000001,3.0,100.0
1786,1,Green Glen Layout,3,1137.5,3.0,120.0
1787,1,Green Glen Layout,3,1138.15,3.0,115.0
1788,1,Green Glen Layout,3,1137.5,3.0,105.0
1789,1,Green Glen Layout,3,1225.25,3.0,135.0
1790,1,Green Glen Layout,3,1114.75,3.0,120.0
1791,1,Green Glen Layout,3,1055.1385,2.0,105.0
1792,1,Green Glen Layout,3,1114.75,3.0,115.0
1793,1,Green Glen Layout,3,1114.75,3.0,105.0
1794,1,Green Glen Layout,3,1120.0,3.0,105.0
1795,1,Green Glen Layout,3,1116.05,3.0,125.0
1796,1,Green Glen Layout,2,875.0,2.0,75.0
1797,1,Green Glen Layout,3,1114.75,3.0,112.0
1798,1,Gubbalala,3,955.5,2.0,82.0
1799,1,Gubbalala,3,1134.25,3.0,104.0
1800,1,Gubbalala,3,1134.25,3.0,115.0
1801,1,Gubbalala,3,1134.25,3.0,110.0
1802,1,Gubbalala,3,1072.5,3.0,71.0
1803,1,Gubbalala,5,1798.9999999999998,4.0,141.0
1804,1,Gubbalala,2,783.25,2.0,70.0
1805,1,Gubbalala,3,932.75,2.0,80.0
1806,1,Gubbalala,2,958.75,2.0,80.0
1808,1,Gubbalala,2,715.0,2.0,49.5
1809,1,Gubbalala,2,689.0,2.0,46.0
1810,1,Gubbalala,3,1300.0,3.0,125.0
1811,1,Gubbalala,3,1221.5,3.0,130.0
1812,1,Gubbalala,2,835.25,2.0,90.0
1813,0,Gunjur,2,741.0,2.0,43.0
1814,1,Gunjur,3,1120.0,3.0,75.0
1815,0,Gunjur,2,741.0,2.0,49.11
1816,1,Gunjur,2,776.75,2.0,44.0
1817,0,Gunjur,2,1019.9,2.0,60.0
1818,1,Gunjur,2,702.0,2.0,41.0
1820,1,Gunjur,3,1170.0,3.0,70.0
1821,1,Gunjur,2,763.75,2.0,43.48
1822,1,Gunjur,2,690.95,2.0,40.0
1823,0,Gunjur,2,802.75,2.0,52.76
1824,0,Gunjur,2,802.75,2.0,44.5
1825,1,Gunjur,2,947.0500000000001,2.0,60.0
1826,1,HBR Layout,3,1959.9999999999998,2.0,200.0
1827,1,HBR Layout,3,1119.3,3.0,95.0
1828,1,HBR Layout,2,780.0,2.0,60.0
1829,1,HBR Layout,2,652.6,2.0,49.0
1830,1,HBR Layout,3,1248.1,3.0,125.0
1831,1,HBR Layout,3,1076.4,3.0,90.0
1832,1,HBR Layout,2,707.85,2.0,60.0
1833,1,HBR Layout,3,1105.0,3.0,110.0
1834,1,HBR Layout,2,838.5999999999999,2.0,65.0
1835,1,HBR Layout,2,840.0,2.0,120.0
1836,1,HBR Layout,3,1190.8,3.0,160.0
1837,1,HRBR Layout,2,961.8,2.0,95.0
1838,1,HRBR Layout,2,1007.9999999999999,2.0,98.0
1841,1,HRBR Layout,2,786.5,2.0,75.0
1842,1,HRBR Layout,2,822.25,2.0,78.0
1843,1,HRBR Layout,2,760.5,2.0,75.0
1845,1,HRBR Layout,3,1056.25,3.0,120.0
1846,0,HRBR Layout,2,845.65,2.0,120.0
1847,1,HRBR Layout,2,744.25,2.0,68.5
1848,1,HRBR Layout,2,909.9999999999999,2.0,90.0
1850,1,HSR Layout,2,891.8000000000001,2.0,68.0
1852,1,HSR Layout,3,958.75,3.0,75.0
1853,1,HSR Layout,2,1026.8999999999999,2.0,55.0
1854,1,HSR Layout,2,741.0,2.0,46.0
1855,1,HSR Layout,2,891.8000000000001,2.0,61.0
1856,1,HSR Layout,3,1137.5,3.0,95.0
1858,1,HSR Layout,2,667.5500000000001,2.0,44.0
1859,1,HSR Layout,3,1072.5,3.0,110.0
1860,1,HSR Layout,2,741.0,2.0,46.0
1861,1,HSR Layout,2,891.8000000000001,2.0,61.0
1862,1,HSR Layout,2,741.0,2.0,46.0
1863,1,HSR Layout,2,770.25,2.0,60.0
1864,1,HSR Layout,2,732.5500000000001,2.0,68.0
1865,1,HSR Layout,3,1040.0,2.0,115.0
1866,1,HSR Layout,2,744.25,2.0,48.0
1867,1,HSR Layout,2,655.85,2.0,56.0
1869,1,HSR Layout,2,845.0,2.0,98.0
1871,1,HSR Layout,2,741.0,2.0,46.0
1872,1,HSR Layout,2,788.1999999999999,2.0,69.0
1874,1,HSR Layout,2,741.0,2.0,46.0
1875,1,HSR Layout,2,744.25,2.0,46.0
1876,1,HSR Layout,2,742.3000000000001,2.0,65.0
1877,1,HSR Layout,2,744.25,2.0,46.0
1878,1,HSR Layout,3,1198.6000000000001,3.0,95.0
1879,1,HSR Layout,2,842.0999999999999,2.0,72.0
1880,1,HSR Layout,2,741.0,2.0,46.0
1881,1,HSR Layout,2,741.0,2.0,46.0
1882,1,HSR Layout,2,744.25,2.0,46.0
1883,1,HSR Layout,2,655.85,2.0,56.0
1884,1,HSR Layout,2,801.5,2.0,46.0
1885,1,HSR Layout,2,715.0,2.0,44.0
1886,1,HSR Layout,2,781.95,2.0,60.0
1887,1,HSR Layout,2,784.0,2.0,70.0
1888,1,HSR Layout,2,741.0,2.0,46.0
1889,1,HSR Layout,2,837.85,2.0,70.0
1890,1,HSR Layout,3,1198.6000000000001,3.0,89.0
1891,1,HSR Layout,2,842.0999999999999,2.0,60.0
1892,1,HSR Layout,2,741.0,2.0,46.0
1893,0,Haralur Road,2,806.0,2.0,70.0
1894,1,Haralur Road,2,667.5500000000001,2.0,44.0
1896,1,Haralur Road,2,776.1,2.0,47.0
1897,1,Haralur Road,2,841.4,2.0,53.0
1898,1,Haralur Road,2,686.4,2.0,61.0
1900,0,Haralur Road,3,1176.5,3.0,100.0
1901,1,Haralur Road,2,776.1,2.0,46.0
1902,0,Haralur Road,4,1823.25,4.0,154.0
1903,0,Haralur Road,2,796.25,2.0,67.38
1904,1,Haralur Road,2,807.95,2.0,46.0
1905,1,Haralur Road,2,667.5500000000001,2.0,44.0
1906,1,Haralur Road,3,1248.0,3.0,115.0
1907,0,Haralur Road,3,1218.75,3.0,110.0
1908,1,Haralur Road,2,776.1,2.0,47.0
1909,1,Haralur Road,2,741.0,2.0,43.0
1910,1,Haralur Road,2,667.5500000000001,2.0,44.0
1911,1,Haralur Road,2,776.1,2.0,46.0
1912,1,Haralur Road,3,1311.05,3.0,125.0
1913,1,Haralur Road,2,741.0,2.0,43.0
1914,0,Haralur Road,3,1218.75,3.0,110.0
1915,1,Haralur Road,2,709.8000000000001,2.0,44.0
1916,1,Haralur Road,3,1608.75,4.0,130.0
1917,1,Haralur Road,2,845.0,2.0,73.0
1918,1,Haralur Road,2,776.1,2.0,47.0
1919,1,Haralur Road,2,807.95,2.0,46.0
1920,1,Haralur Road,3,1202.5,3.0,110.0
1921,0,Haralur Road,2,796.25,2.0,67.38
1922,1,Haralur Road,2,807.95,2.0,46.0
1923,1,Haralur Road,2,951.6,2.0,56.0
1924,0,Haralur Road,2,799.5,2.0,78.0
1925,1,Haralur Road,2,700.0,2.0,44.0
1926,1,Haralur Road,2,845.0,2.0,79.0
1927,1,Haralur Road,3,938.6,2.0,80.0
1928,1,Haralur Road,2,761.5999999999999,2.0,68.0
1929,1,Haralur Road,2,667.5500000000001,2.0,44.0
1931,0,Haralur Road,2,796.25,2.0,70.0
1933,1,Haralur Road,2,776.1,2.0,46.0
1934,0,Haralur Road,3,1189.5,3.0,101.0
1935,1,Haralur Road,2,951.6,2.0,56.0
1936,0,Haralur Road,3,988.0,2.0,96.0
1937,1,Haralur Road,2,845.0,2.0,75.0
1938,1,Haralur Road,3,1311.05,2.0,125.0
1939,1,Haralur Road,2,807.95,2.0,46.0
1940,1,Haralur Road,2,667.5500000000001,2.0,44.0
1941,1,Haralur Road,2,807.95,2.0,46.0
1942,1,Haralur Road,2,667.5500000000001,2.0,44.0
1943,1,Haralur Road,3,1411.8999999999999,3.0,105.0
1944,1,Haralur Road,2,807.95,2.0,46.0
1945,1,Haralur Road,2,807.95,2.0,46.0
1946,0,Haralur Road,3,988.0,2.0,90.0
1947,1,Haralur Road,2,909.9999999999999,2.0,60.0
1948,0,Haralur Road,3,1290.25,3.0,130.0
1949,1,Haralur Road,2,686.4,2.0,60.0
1950,1,Haralur Road,2,741.0,2.0,42.0
1951,1,Haralur Road,2,809.25,2.0,62.0
1952,1,Haralur Road,2,798.0,2.0,58.0
1953,1,Haralur Road,2,741.0,2.0,42.0
1954,1,Haralur Road,2,667.5500000000001,2.0,43.0
1955,0,Haralur Road,2,776.1,2.0,47.0
1956,1,Haralur Road,2,776.1,2.0,47.0
1957,1,Haralur Road,3,1014.0,3.0,90.0
1958,0,Haralur Road,3,988.0,2.0,85.0
1959,1,Haralur Road,2,807.95,2.0,45.0
1960,0,Haralur Road,2,667.5500000000001,2.0,44.0
1961,1,Haralur Road,2,776.1,2.0,46.0
1962,1,Haralur Road,3,1072.5,3.0,100.0
1963,1,Haralur Road,3,1027.0,3.0,73.0
1964,1,Haralur Road,2,807.95,2.0,46.0
1965,1,Haralur Road,2,776.1,2.0,47.0
1966,0,Haralur Road,4,1823.25,4.0,154.0
1967,0,Haralur Road,3,988.0,2.0,96.0
1968,0,Haralur Road,3,981.5,3.0,83.05
1969,1,Haralur Road,2,739.1999999999999,2.0,65.0
1970,0,Haralur Road,3,1176.5,3.0,100.0
1971,1,Haralur Road,2,807.95,2.0,46.0
1972,0,Haralur Road,1,373.75,1.0,38.0
1973,1,Haralur Road,2,776.1,2.0,46.0
1974,1,Haralur Road,2,807.95,2.0,46.0
1975,1,Haralur Road,2,776.1,2.0,46.0
1976,1,Haralur Road,2,741.0,2.0,43.0
1977,0,Haralur Road,3,1202.5,3.0,120.0
1978,1,Haralur Road,2,776.1,2.0,47.0
1979,1,Haralur Road,2,776.1,2.0,47.0
1981,1,Haralur Road,2,807.95,2.0,46.0
1982,1,Haralur Road,3,1111.5,3.0,85.0
1983,1,Haralur Road,3,1124.5,3.0,95.0
1984,1,Haralur Road,2,807.95,2.0,46.0
1985,1,Haralur Road,2,807.95,2.0,46.0
1986,1,Haralur Road,2,807.95,2.0,46.0
1987,1,Haralur Road,3,1181.05,3.0,110.0
1988,0,Haralur Road,2,796.25,2.0,77.0
1989,1,Haralur Road,2,835.25,2.0,78.0
1990,0,Haralur Road,2,796.25,2.0,67.48
1991,0,Haralur Road,2,796.25,2.0,69.84
1992,1,Haralur Road,2,780.0,2.0,46.0
1993,1,Haralur Road,2,854.75,2.0,85.0
1995,1,Haralur Road,2,845.0,2.0,75.0
1996,1,Haralur Road,2,850.85,2.0,82.0
1997,1,Haralur Road,2,667.5500000000001,1.0,44.0
1998,1,Haralur Road,2,807.95,2.0,46.0
1999,1,Haralur Road,2,807.95,2.0,46.0
2000,1,Haralur Road,2,741.0,2.0,43.0
2001,1,Haralur Road,2,845.0,2.0,75.0
2002,1,Haralur Road,2,807.95,2.0,46.0
2004,0,Haralur Road,2,799.5,2.0,67.65
2005,1,Haralur Road,2,776.1,2.0,46.0
2006,1,Haralur Road,2,709.8000000000001,2.0,44.0
2008,1,Haralur Road,3,1127.75,3.0,97.0
2009,0,Haralur Road,3,1176.5,3.0,97.83
2010,1,Haralur Road,2,780.0,2.0,46.0
2011,1,Haralur Road,2,807.95,2.0,46.0
